id,strategy_id,user_id,symbol,isin,industry,mcap_bucket,index_name,entry_price,quantity,invested_amt,ema_alloc_pct,high_since_entry,current_sl,last_trail_level,status,exit_price,realized_pnl,exit_reason,entry_time,exit_time,updated_at,signal_id,event_seq,broker_order_id,protective_last_attempt,protective_last_status,protective_last_reason
214,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,LGEINDIA,INE324D01010,Consumer Durables,MID,NFTYMCP150,1687.30,3,5061.90,0.3000,1687.30,1349.84,1687.30,PENDING_ENTRY,,,,2026-08-25 13:25:40.329502+05:30,,2026-08-25 13:25:40.329502+05:30,7d68a4c2-b5ff-5d68-802b-1a3a268877da,0,,,,
215,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,SPECIALITY,INE247M01014,Restaurants,SMALL,NTYSLCP250,147.40,40,5896.00,0.3000,147.40,117.92,147.40,PENDING_ENTRY,,,,2026-08-25 13:25:40.364592+05:30,,2026-08-25 13:25:40.364592+05:30,ab7209ca-f483-5f98-9061-a5419081ca55,0,,,,
216,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,HOMEFIRST,INE481N01025,Housing Finance,SMALL,NTYSLCP250,1189.10,5,5945.50,0.3000,1189.10,951.28,1189.10,PENDING_ENTRY,,,,2026-08-25 13:25:40.398149+05:30,,2026-08-25 13:25:40.398149+05:30,f5182e33-0a36-5748-81ed-17b9be938ec6,0,,,,
217,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,LINC,INE802B01027,Stationery,SMALL,NTYSLCP250,96.33,62,5972.46,0.3000,96.33,77.06,96.33,PENDING_ENTRY,,,,2026-08-25 13:25:40.431087+05:30,,2026-08-25 13:25:40.431087+05:30,2cd92066-75d3-5055-848b-bb4e2ade3292,0,,,,
218,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,ORIENTBELL,INE607D01018,Ceramics,SMALL,NTYSLCP250,375.65,15,5634.75,0.3000,375.65,300.52,375.65,PENDING_ENTRY,,,,2026-08-25 13:25:41.211589+05:30,,2026-08-25 13:25:41.211589+05:30,84db61b7-c63b-5095-80e3-1df89726ab98,0,,,,
219,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,GENUSPOWER,INE955D01029,Electrical Equipment,SMALL,NTYSLCP250,337.30,17,5734.10,0.3000,337.30,269.84,337.30,PENDING_ENTRY,,,,2026-08-25 13:25:44.179512+05:30,,2026-08-25 13:25:44.179512+05:30,62227199-5874-5f25-bf84-0f41d37a90f4,0,,,,
220,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,FEDERALBNK,INE171A01029,Banks,MID,NFTYMCP150,345.60,17,5875.20,0.3000,345.60,276.48,345.60,PENDING_ENTRY,,,,2026-08-25 13:25:47.141377+05:30,,2026-08-25 13:25:47.141377+05:30,b5ae00bc-22cc-58a1-8845-53233cd34c1e,0,,,,
221,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,PACEDIGITK,INE0S3G01027,Digital Services,SMALL,NTYSLCP250,181.37,32,5803.84,0.3000,181.37,145.10,181.37,PENDING_ENTRY,,,,2026-08-25 13:25:50.087701+05:30,,2026-08-25 13:25:50.087701+05:30,03ab16fa-b48a-5c84-85ce-17a61199842b,0,,,,
222,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,PYRAMID,INE0MIS01010,Infrastructure,SMALL,NTYSLCP250,163.19,36,5874.84,0.3000,163.19,130.55,163.19,PENDING_ENTRY,,,,2026-08-25 13:25:53.062697+05:30,,2026-08-25 13:25:53.062697+05:30,2e5130a2-a4c3-5573-8594-c991d159e1d7,0,,,,
223,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,ACUTAAS,INE00FF01025,Pharmaceuticals,SMALL,NTYSLCP250,3248.70,1,3248.70,0.3000,3248.70,2598.96,3248.70,PENDING_ENTRY,,,,2026-08-25 13:25:56.01966+05:30,,2026-08-25 13:25:56.01966+05:30,25a80193-3251-594b-b4a1-8aafc0863aa5,0,,,,
224,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,RELIANCE,INE002A01018,Refineries & Marketing,LARGE,NIFTY50,1302.90,6,7817.40,0.4000,1302.90,1042.32,1302.90,PENDING_ENTRY,,,,2026-08-25 13:33:33.100517+05:30,,2026-08-25 13:33:33.100517+05:30,ae96ac69-3b4b-5aeb-9797-7f5e8dca4947,0,,,,
225,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,INFY,INE009A01021,IT - Software,LARGE,NIFTY50,1121.70,7,7851.90,0.4000,1121.70,897.36,1121.70,PENDING_ENTRY,,,,2026-08-25 13:37:44.023266+05:30,,2026-08-25 13:37:44.023266+05:30,ade0a9c1-071e-5e89-886b-2c6533d4eaa3,0,,,,
