id,order_id,event_type,old_status,new_status,broker_status,price,qty,detail,created_at,exchange_error_code,exchange_error_tag,reject_category
3701,8894,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 06:51:18.326367+00,,,
3702,8895,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 06:51:18.337618+00,,,
3703,8896,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 06:56:18.263622+00,,,
3704,8897,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 06:56:18.276718+00,,,
3705,8898,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:01:18.381695+00,,,
3706,8899,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:01:18.393447+00,,,
3707,8900,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:06:18.295529+00,,,
3708,8901,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:06:18.308557+00,,,
3709,8902,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:11:18.251992+00,,,
3710,8903,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:11:18.264135+00,,,
3711,8904,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:16:18.283921+00,,,
3712,8905,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:16:18.295673+00,,,
3713,8906,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:21:18.253539+00,,,
3714,8907,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:21:18.267455+00,,,
3715,8908,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:26:18.251555+00,,,
3716,8909,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:26:18.263427+00,,,
3717,8910,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:26:34.844339+00,,,
3718,8911,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:26:34.855396+00,,,
3732,8919,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:31:34.922642+00,,,
3733,8920,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:31:34.932454+00,,,
3735,8921,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:36:35.075366+00,,,
3736,8922,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:36:35.087506+00,,,
3737,8923,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:41:34.989582+00,,,
3738,8924,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:41:35.002308+00,,,
3739,8925,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:46:34.897948+00,,,
3740,8926,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:46:34.909954+00,,,
3754,8930,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:51:34.96587+00,,,
3755,8931,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:51:34.979018+00,,,
3764,8938,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:56:35.072764+00,,,
3765,8939,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 07:56:35.086478+00,,,
3768,8940,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:01:34.958324+00,,,
3769,8941,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:01:34.970995+00,,,
3772,8944,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:06:35.05212+00,,,
3773,8945,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:06:35.063553+00,,,
3778,8948,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:07:31.192886+00,,,
3779,8949,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:07:31.20388+00,,,
3787,8955,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:08:53.883815+00,,,
3788,8956,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:08:53.896063+00,,,
3791,8957,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:13:53.73393+00,,,
3792,8958,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:13:53.745945+00,,,
3795,8961,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:18:53.915209+00,,,
3796,8962,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:18:53.927228+00,,,
3806,8965,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:23:53.739842+00,,,
3807,8966,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:23:53.753564+00,,,
3808,8967,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:27:56.978105+00,,,
3809,8968,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:27:56.989719+00,,,
3814,8972,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:32:57.137317+00,,,
3815,8973,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:32:57.149473+00,,,
3822,8975,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:37:57.019021+00,,,
3823,8976,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:37:57.030352+00,,,
3828,8980,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:42:57.039385+00,,,
3829,8981,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:42:57.051484+00,,,
3830,8982,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:45:23.178912+00,,,
3831,8983,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:45:23.190743+00,,,
3832,8984,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:50:23.188725+00,,,
3833,8985,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:50:23.20094+00,,,
3834,8986,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",1634.40,20,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:55:04.320509+00,,,
3835,8987,EOD_AMO_FAILED,AMO_PENDING,REJECTED,"",217.65,149,place order request failed: indira: session expired (AU0xx): AU004 Session expired,2026-08-22 08:55:04.332421+00,,,
